Room,Capacity,Building
D003,300,CD
D006,300,CD
D007,300,CD
D022,300,CD
D026,300,CD
D102,300,CD
D105,300,CD
D106,300,CD
D107,300,CD
D109,300,CD
D110,300,CD
D116,300,CD
D118,300,CD
D120,300,CD
D122,300,CD
D202,300,CD
D205,300,CD
D206,300,CD
D207,300,CD
D209,300,CD
D210,300,CD
D214,300,CD
D216,300,CD
D218,300,CD
D220,300,CD
D222,300,CD
D226,300,CD
D302,300,CD
D305,300,CD
D306,300,CD
D307,300,CD
D309,300,CD
D310,300,CD
D314,300,CD
D316,300,CD
D318,300,CD
D320,300,CD
D322,300,CD
C021,300,CD
D217,300,CD
B315,300,AB
B309,300,AB
B311,300,AB
B313,300,AB
B307,300,AB
B305,300,AB
B303,300,AB
B215,300,AB
B219,300,AB
B203,300,AB
B205,300,AB
B207,300,AB
B223,300,AB
B108,300,AB
B121,300,AB
B103,300,AB
B105,300,AB
B107,300,AB
B016,300,AB
B012,300,AB
B007,300,AB
B011,300,AB
A312,300,AB
A316,300,AB
A320,300,AB
A322,300,AB
A218,300,AB
A216,300,AB
A214,300,AB
A212,300,AB
A222,300,AB
A120,300,AB
A116,300,AB
A112,300,AB
A001,300,Lab
A101,300,Lab
A303,300,Lab
B003,300,Lab
B004,300,Lab
B110,300,Lab
B113,300,Lab
B206,300,Lab
B212,300,Lab
B214,300,Lab
B308,300,Lab
B312,300,Lab
B316,300,Lab
C009,300,Lab
C010,300,Lab
C017,300,Lab
C105,300,Lab
C112,300,Lab
C114,300,Lab
C117,300,Lab
C201,300,Lab
C205,300,Lab
C206,300,Lab
C217,300,Lab
C303,300,Lab
C305,300,Lab
C308,300,Lab
C315,300,Lab
D004,300,Lab
D013,300,Lab
D018,300,Lab
D112,300,Lab
D113,300,Lab
D114,300,Lab
D117,300,Lab
D215,300,Lab
D313,300,Lab
D317,300,Lab
