"Room","Room Capacity","Building"
"A001",30,"Lab"
"A101",30,"Lab"
"A303",30,"Lab"
"B003",30,"Lab"
"B004",30,"Lab"
"B110",30,"Lab"
"B113",30,"Lab"
"B206",30,"Lab"
"B212",30,"Lab"
"B214",30,"Lab"
"B308",30,"Lab"
"B312",30,"Lab"
"B316",30,"Lab"
"C009",30,"Lab"
"C010",30,"Lab"
"C017",30,"Lab"
"C105",30,"Lab"
"C112",30,"Lab"
"C114",30,"Lab"
"C117",30,"Lab"
"C201",30,"Lab"
"C205",30,"Lab"
"C206",30,"Lab"
"C217",30,"Lab"
"C303",30,"Lab"
"C305",30,"Lab"
"C308",30,"Lab"
"C315",30,"Lab"
"D004",30,"Lab"
"D013",30,"Lab"
"D018",30,"Lab"
"D112",30,"Lab"
"D113",30,"Lab"
"D114",30,"Lab"
"D117",30,"Lab"
"D215",30,"Lab"
"D313",30,"Lab"
"D317",30,"Lab"
