"Year","Number of Students per Year","Group","Number of Students per Group","Subgroup","Number of Students per Subgroup"
"year1",16,,,,
"year1",16,"ECE1",1,,
"year1",16,"ECO1",1,,
"year1",16,"HIS1",1,,
"year1",16,"INT1",1,,
"year1",16,"BMS1",1,,
"year1",16,"ENG1",1,,
"year1",16,"CHY1",1,,
"year1",16,"EEE1",1,,
"year1",16,"MED1",1,,
"year1",16,"CSE1",1,,
"year1",16,"MAT1",1,,
"year1",16,"SOC1",1,,
"year1",16,"PHY1",1,,
"year1",16,"CHD1",1,,
"year1",16,"CED1",1,,
"year1",16,"BIO1",1,,
"year2",16,,,,
"year2",16,"CSE2",1,,
"year2",16,"CHY2",1,,
"year2",16,"ECO2",1,,
"year2",16,"CED2",1,,
"year2",16,"BMS2",1,,
"year2",16,"ENG2",1,,
"year2",16,"MED2",1,,
"year2",16,"PHY2",1,,
"year2",16,"MAT2",1,,
"year2",16,"SOC2",1,,
"year2",16,"BIO2",1,,
"year2",16,"INT2",1,,
"year2",16,"ECE2",1,,
"year2",16,"CHD2",1,,
"year2",16,"EEE2",1,,
"year2",16,"HIS2",1,,
"year3",16,,,,
"year3",16,"ECE3",1,,
"year3",16,"MED3",1,,
"year3",16,"EEE3",1,,
"year3",16,"ECO3",1,,
"year3",16,"CED3",1,,
"year3",16,"PHY3",1,,
"year3",16,"BMS3",1,,
"year3",16,"SOC3",1,,
"year3",16,"CHY3",1,,
"year3",16,"CHD3",1,,
"year3",16,"MAT3",1,,
"year3",16,"CSE3",1,,
"year3",16,"INT3",1,,
"year3",16,"ENG3",1,,
"year3",16,"BIO3",1,,
"year3",16,"HIS3",1,,
"year4",16,,,,
"year4",16,"MED4",1,,
"year4",16,"PHY4",1,,
"year4",16,"BIO4",1,,
"year4",16,"HIS4",1,,
"year4",16,"SOC4",1,,
"year4",16,"BMS4",1,,
"year4",16,"ENG4",1,,
"year4",16,"CHY4",1,,
"year4",16,"EEE4",1,,
"year4",16,"INT4",1,,
"year4",16,"CED4",1,,
"year4",16,"ECO4",1,,
"year4",16,"MAT4",1,,
"year4",16,"ECE4",1,,
"year4",16,"CHD4",1,,
"year4",16,"CSE4",1,,
