Year,Number of Students per Year,Group, Number of Students per Group,Subgroup, Number of Students per Subgroup
BIO1,25,BIO1NoMinor,25 , ,
BIO2,25,BIO2NoMinor,25 , ,
BIO3,25,BIO3NoMinor,25 , ,
BIO4,25,BIO4NoMinor,25 , ,
CED1,60,CED1NoMinor,60 , ,
CED2,60,CED2NoMinor,60 , ,
CED3,60,CED3NoMinor,60 , ,
CED4,60,CED4NoMinor,60 , ,
CHD1,60,CHD1NoMinor,60 , ,
CHD2,60,CHD2NoMinor,60 , ,
CHD3,60,CHD3NoMinor,60 , ,
CHD4,60,CHD4NoMinor,60 , ,
CHY1,25,CHY1NoMinor,25 , ,
CHY2,25,CHY2NoMinor,0 , ,
CHY2,25,CHY2MGT,17 , ,
CHY2,25,CHY2BIO,8 , ,
CHY3,25,CHY3NoMinor,0 , ,
CHY3,25,CHY3MGT,17 , ,
CHY3,25,CHY3BIO,8 , ,
CHY4,25,CHY4NoMinor,0 , ,
CHY4,25,CHY4MGT,17 , ,
CHY4,25,CHY4BIO,8 , ,
CSD1,60,CSD1NoMinor,60 , ,
CSD2,60,CSD2NoMinor,0 , ,
CSD2,60,CSD2MAT,40 , ,
CSD2,60,CSD2ECO,20 , ,
CSD3,60,CSD3NoMinor,0 , ,
CSD3,60,CSD3MAT,40 , ,
CSD3,60,CSD3ECO,20 , ,
CSD4,60,CSD4NoMinor,0 , ,
CSD4,60,CSD4MAT,40 , ,
CSD4,60,CSD4ECO,20 , ,
ECE1,60,ECE1NoMinor,60 , ,
ECE2,60,ECE2NoMinor,60 , ,
ECE3,60,ECE3NoMinor,60 , ,
ECE4,60,ECE4NoMinor,60 , ,
ECO1,30,ECO1NoMinor,30 , ,
ECO2,30,ECO2NoMinor,0 , ,
ECO2,30,ECO2MGT,20 , ,
ECO2,30,ECO2MAT,10 , ,
ECO3,30,ECO3NoMinor,0 , ,
ECO3,30,ECO3MGT,20 , ,
ECO3,30,ECO3MAT,10 , ,
ECO4,30,ECO4NoMinor,0 , ,
ECO4,30,ECO4MGT,20 , ,
ECO4,30,ECO4MAT,10 , ,
EED1,60,EED1NoMinor,60 , ,
EED2,60,EED2NoMinor,0 , ,
EED2,60,EED2DES,40 , ,
EED2,60,EED2MGT,20 , ,
EED3,60,EED3NoMinor,0 , ,
EED3,60,EED3DES,40 , ,
EED3,60,EED3MGT,20 , ,
EED4,60,EED4NoMinor,0 , ,
EED4,60,EED4DES,40 , ,
EED4,60,EED4MGT,20 , ,
ENG1,25,ENG1NoMinor,25 , ,
ENG2,25,ENG2NoMinor,0 , ,
ENG2,25,ENG2COM,17 , ,
ENG2,25,ENG2SOC,8 , ,
ENG3,25,ENG3NoMinor,0 , ,
ENG3,25,ENG3COM,17 , ,
ENG3,25,ENG3SOC,8 , ,
ENG4,25,ENG4NoMinor,0 , ,
ENG4,25,ENG4COM,17 , ,
ENG4,25,ENG4SOC,8 , ,
HIS1,25,HIS1NoMinor,25 , ,
HIS2,25,HIS2NoMinor,0 , ,
HIS2,25,HIS2COM,17 , ,
HIS2,25,HIS2SOC,8 , ,
HIS3,25,HIS3NoMinor,0 , ,
HIS3,25,HIS3COM,17 , ,
HIS3,25,HIS3SOC,8 , ,
HIS4,25,HIS4NoMinor,0 , ,
HIS4,25,HIS4COM,17 , ,
HIS4,25,HIS4SOC,8 , ,
INT1,25,INT1NoMinor,25 , ,
INT2,25,INT2NoMinor,25 , ,
MAT1,25,MAT1NoMinor,25 , ,
MAT2,25,MAT2NoMinor,0 , ,
MAT2,25,MAT2ECO,17 , ,
MAT2,25,MAT2CSD,8 , ,
MAT3,25,MAT3NoMinor,0 , ,
MAT3,25,MAT3ECO,17 , ,
MAT3,25,MAT3CSD,8 , ,
MAT4,25,MAT4NoMinor,0 , ,
MAT4,25,MAT4ECO,17 , ,
MAT4,25,MAT4CSD,8 , ,
MED1,50,MED1NoMinor,50 , ,
MED2,50,MED2NoMinor,0 , ,
MED2,50,MED2DES,33 , ,
MED2,50,MED2MGT,17 , ,
MED3,50,MED3NoMinor,0 , ,
MED3,50,MED3DES,33 , ,
MED3,50,MED3MGT,17 , ,
MED4,50,MED4NoMinor,0 , ,
MED4,50,MED4DES,33 , ,
MED4,50,MED4MGT,17 , ,
MGT1,25,MGT1NoMinor,25 , ,
MGT2,25,MGT2NoMinor,25 , ,
MGT3,25,MGT3NoMinor,25 , ,
MGT4,25,MGT4NoMinor,25 , ,
PHY1,25,PHY1NoMinor,25 , ,
PHY2,25,PHY2NoMinor,25 , ,
PHY3,25,PHY3NoMinor,25 , ,
PHY4,25,PHY4NoMinor,25 , ,
SOC1,25,SOC1NoMinor,25 , ,
SOC2,25,SOC2NoMinor,25 , ,
SOC3,25,SOC3NoMinor,25 , ,
SOC4,25,SOC4NoMinor,25 , ,
UGG1,30,UGG1NoMinor,30 , ,
