Room,Capacity,Building
D003,500,CD
D006,500,CD
D007,500,CD
D022,500,CD
D026,500,CD
D102,500,CD
D105,500,CD
D106,500,CD
D107,500,CD
D109,500,CD
D110,500,CD
D116,500,CD
D118,500,CD
D120,500,CD
D122,500,CD
D202,500,CD
D205,500,CD
D206,500,CD
D207,500,CD
D209,500,CD
D210,500,CD
D214,500,CD
D216,500,CD
D218,500,CD
D220,500,CD
D222,500,CD
D226,500,CD
D302,500,CD
D305,500,CD
D306,500,CD
D307,500,CD
D309,500,CD
D310,500,CD
D314,500,CD
D316,500,CD
D318,500,CD
D320,500,CD
D322,500,CD
C021,500,CD
D217,500,CD
B315,500,AB
B309,500,AB
B311,500,AB
B313,500,AB
B307,500,AB
B305,500,AB
B303,500,AB
B215,500,AB
B219,500,AB
B203,500,AB
B205,500,AB
B207,500,AB
B223,500,AB
B108,500,AB
B121,500,AB
B103,500,AB
B105,500,AB
B107,500,AB
B016,500,AB
B012,500,AB
B007,500,AB
B011,500,AB
A312,500,AB
A316,500,AB
A320,500,AB
A322,500,AB
A218,500,AB
A216,500,AB
A214,500,AB
A212,500,AB
A222,500,AB
A120,500,AB
A116,500,AB
A112,500,AB
A001,500,Lab
A101,500,Lab
A303,500,Lab
B003,500,Lab
B004,500,Lab
B110,500,Lab
B113,500,Lab
B206,500,Lab
B212,500,Lab
B214,500,Lab
B308,500,Lab
B312,500,Lab
B316,500,Lab
C009,500,Lab
C010,500,Lab
C017,500,Lab
C105,500,Lab
C112,500,Lab
C114,500,Lab
C117,500,Lab
C201,500,Lab
C205,500,Lab
C206,500,Lab
C217,500,Lab
C303,500,Lab
C305,500,Lab
C308,500,Lab
C315,500,Lab
D004,500,Lab
D013,500,Lab
D018,500,Lab
D112,500,Lab
D113,500,Lab
D114,500,Lab
D117,500,Lab
D215,500,Lab
D313,500,Lab
D317,500,Lab
