Room,Capacity,Building
D003,90,CD
D006,90,CD
D007,90,CD
D022,60,CD
D026,60,CD
D102,60,CD
D105,30,CD
D106,60,CD
D107,30,CD
D109,20,CD
D110,60,CD
D116,30,CD
D118,30,CD
D120,30,CD
D122,60,CD
D202,60,CD
D205,30,CD
D206,30,CD
D207,30,CD
D209,20,CD
D210,60,CD
D214,30,CD
D216,30,CD
D218,30,CD
D220,30,CD
D222,60,CD
D226,60,CD
D302,60,CD
D305,30,CD
D306,60,CD
D307,30,CD
D309,20,CD
D310,60,CD
D314,30,CD
D316,30,CD
D318,30,CD
D320,30,CD
D322,60,CD
C021,150,CD
D217,180,CD
B315,300,AB
B309,60,AB
B311,60,AB
B313,30,AB
B307,30,AB
B305,30,AB
B303,20,AB
B215,60,AB
B219,50,AB
B203,30,AB
B205,30,AB
B207,20,AB
B223,20,AB
B108,120,AB
B121,60,AB
B103,30,AB
B105,30,AB
B107,20,AB
B016,120,AB
B012,100,AB
B007,60,AB
B011,50,AB
A312,60,AB
A316,60,AB
A320,30,AB
A322,20,AB
A218,60,AB
A216,30,AB
A214,30,AB
A212,30,AB
A222,20,AB
A120,60,AB
A116,60,AB
A112,60,AB
A001,30,Lab
A101,30,Lab
A303,30,Lab
B003,30,Lab
B004,30,Lab
B110,30,Lab
B113,30,Lab
B206,30,Lab
B212,30,Lab
B214,30,Lab
B308,30,Lab
B312,30,Lab
B316,30,Lab
C009,30,Lab
C010,30,Lab
C017,30,Lab
C105,30,Lab
C112,30,Lab
C114,30,Lab
C117,30,Lab
C201,30,Lab
C205,30,Lab
C206,30,Lab
C217,30,Lab
C303,30,Lab
C305,30,Lab
C308,30,Lab
C315,30,Lab
D004,30,Lab
D013,30,Lab
D018,30,Lab
D112,10,Lab
D113,12,Lab
D114,10,Lab
D117,12,Lab
D215,20,Lab
D313,80,Lab
D317,40,Lab
